index,node_id,type
534,cs_10419,Paper
535,cs_1042,Paper
536,cs_10420,Paper
537,cs_10421,Paper
538,cs_10422,Paper
539,cs_10423,Paper
540,cs_10424,Paper
541,cs_10425,Paper
542,cs_10426,Paper
543,cs_10427,Paper
544,cs_10428,Paper
545,cs_10429,Paper
546,cs_1043,Paper
547,cs_10430,Paper
548,cs_10431,Paper
549,cs_10432,Paper
550,cs_10433,Paper
551,cs_10434,Paper
552,cs_10435,Paper
553,cs_10436,Paper
554,cs_10437,Paper
555,cs_10438,Paper
556,cs_10439,Paper
557,cs_1044,Paper
558,cs_10440,Paper
559,cs_10441,Paper
560,cs_10442,Paper
561,cs_10443,Paper
562,cs_10444,Paper
563,cs_10445,Paper
564,cs_10446,Paper
565,cs_10447,Paper
566,cs_10448,Paper
567,cs_10449,Paper
568,cs_1045,Paper
569,cs_10450,Paper
570,cs_10451,Paper
571,cs_10452,Paper
572,cs_10453,Paper
573,cs_10454,Paper
574,cs_10455,Paper
575,cs_10456,Paper
576,cs_10457,Paper
577,cs_10458,Paper
578,cs_10459,Paper
579,cs_1046,Paper
580,cs_10460,Paper
581,cs_10461,Paper
582,cs_10462,Paper
583,cs_10463,Paper
584,cs_10464,Paper
585,cs_10465,Paper
586,cs_10466,Paper
587,cs_10467,Paper
588,cs_10468,Paper
589,cs_10469,Paper
590,cs_1047,Paper
591,cs_10470,Paper
592,cs_10471,Paper
593,cs_10472,Paper
594,cs_10473,Paper
595,cs_10474,Paper
596,cs_10475,Paper
597,cs_10476,Paper
598,cs_10477,Paper
599,cs_10478,Paper
600,cs_10479,Paper
601,cs_1048,Paper
602,cs_10480,Paper
603,cs_10481,Paper
604,cs_10482,Paper
605,cs_10483,Paper
606,cs_10484,Paper
607,cs_10485,Paper
608,cs_10486,Paper
609,cs_10487,Paper
610,cs_10488,Paper
611,cs_10489,Paper
612,cs_1049,Paper
613,cs_10490,Paper
614,cs_10491,Paper
615,cs_10492,Paper
616,cs_10493,Paper
617,cs_10494,Paper
618,cs_10495,Paper
619,cs_10496,Paper
620,cs_10497,Paper
621,cs_10498,Paper
622,cs_10499,Paper
623,cs_105,Paper
624,cs_1050,Paper
625,cs_10500,Paper
626,cs_10501,Paper
627,cs_10502,Paper
628,cs_10503,Paper
629,cs_10504,Paper
630,cs_10505,Paper
631,cs_10506,Paper
632,cs_10507,Paper
633,cs_10508,Paper
634,cs_10509,Paper
635,cs_1051,Paper
636,cs_10510,Paper
637,cs_10511,Paper
638,cs_10512,Paper
639,cs_10513,Paper
640,cs_10514,Paper
641,cs_10515,Paper
642,cs_10516,Paper
643,cs_10517,Paper
644,cs_10518,Paper
645,cs_10519,Paper
646,cs_1052,Paper
647,cs_10520,Paper
648,cs_10521,Paper
649,cs_10522,Paper
650,cs_10523,Paper
651,cs_10524,Paper
652,cs_10525,Paper
653,cs_10526,Paper
654,cs_10527,Paper
655,cs_10528,Paper
656,cs_10529,Paper
657,cs_1053,Paper
658,cs_10530,Paper
659,cs_10531,Paper
660,cs_10532,Paper
661,cs_10533,Paper
662,cs_10534,Paper
663,cs_10535,Paper
664,cs_10536,Paper
665,cs_10537,Paper
666,cs_10538,Paper
667,cs_10539,Paper
668,cs_1054,Paper
669,cs_10540,Paper
670,cs_10541,Paper
671,cs_10542,Paper
672,cs_10543,Paper
673,cs_10544,Paper
674,cs_10545,Paper
675,cs_10546,Paper
676,cs_10547,Paper
677,cs_10548,Paper
678,cs_10549,Paper
679,cs_1055,Paper
680,cs_10550,Paper
681,cs_10551,Paper
682,cs_10552,Paper
683,cs_10553,Paper
684,cs_10554,Paper
685,cs_10555,Paper
686,cs_10556,Paper
687,cs_10557,Paper
688,cs_10558,Paper
689,cs_10559,Paper
690,cs_1056,Paper
691,cs_10560,Paper
692,cs_10561,Paper
693,cs_10562,Paper
694,cs_10563,Paper
695,cs_10564,Paper
696,cs_10565,Paper
697,cs_10566,Paper
698,cs_10567,Paper
699,cs_10568,Paper
700,cs_10569,Paper
701,cs_1057,Paper
702,cs_10570,Paper
703,cs_10571,Paper
704,cs_10572,Paper
705,cs_10573,Paper
706,cs_10574,Paper
707,cs_10575,Paper
708,cs_10576,Paper
709,cs_10577,Paper
710,cs_10578,Paper
711,cs_10579,Paper
712,cs_1058,Paper
713,cs_10580,Paper
714,cs_10581,Paper
715,cs_10582,Paper
716,cs_10583,Paper
717,cs_10584,Paper
718,cs_10585,Paper
719,cs_10586,Paper
720,cs_10587,Paper
721,cs_10588,Paper
722,cs_10589,Paper
723,cs_1059,Paper
724,cs_10590,Paper
725,cs_10591,Paper
726,cs_10592,Paper
727,cs_10593,Paper
728,cs_10594,Paper
729,cs_10595,Paper
730,cs_10596,Paper
731,cs_10597,Paper
732,cs_10598,Paper
733,cs_10599,Paper
734,cs_106,Paper
735,cs_1060,Paper
736,cs_10600,Paper
737,cs_10601,Paper
738,cs_10602,Paper
739,cs_10603,Paper
740,cs_10604,Paper
741,cs_10605,Paper
742,cs_10606,Paper
743,cs_10607,Paper
744,cs_10608,Paper
745,cs_10609,Paper
746,cs_1061,Paper
747,cs_10610,Paper
748,cs_10611,Paper
749,cs_10612,Paper
750,cs_10613,Paper
751,cs_10614,Paper
752,cs_10615,Paper
753,cs_10616,Paper
754,cs_10617,Paper
755,cs_10618,Paper
756,cs_10619,Paper
757,cs_1062,Paper
758,cs_10620,Paper
759,cs_10621,Paper
760,cs_10622,Paper
761,cs_10623,Paper
762,cs_10624,Paper
763,cs_10625,Paper
764,cs_10626,Paper
765,cs_10627,Paper
766,cs_10628,Paper
767,cs_10629,Paper
768,cs_1063,Paper
769,cs_10630,Paper
770,cs_10631,Paper
771,cs_10632,Paper
772,cs_10633,Paper
773,cs_10634,Paper
774,cs_10635,Paper
775,cs_10636,Paper
776,cs_10637,Paper
777,cs_10638,Paper
778,cs_10639,Paper
779,cs_1064,Paper
780,cs_10640,Paper
781,cs_10641,Paper
782,cs_10642,Paper
783,cs_10643,Paper
784,cs_10644,Paper
785,cs_10645,Paper
786,cs_10646,Paper
787,cs_10647,Paper
788,cs_10648,Paper
789,cs_10649,Paper
790,cs_1065,Paper
791,cs_10650,Paper
792,cs_10651,Paper
793,cs_10652,Paper
794,cs_10653,Paper
795,cs_10654,Paper
796,cs_10655,Paper
797,cs_10656,Paper
798,cs_10657,Paper
799,cs_10658,Paper
800,cs_10659,Paper
801,cs_1066,Paper
802,cs_10660,Paper
803,cs_10661,Paper
804,cs_10662,Paper
805,cs_10663,Paper
806,cs_10664,Paper
807,cs_10665,Paper
808,cs_10666,Paper
809,cs_10667,Paper
810,cs_10668,Paper
811,cs_10669,Paper
812,cs_1067,Paper
813,cs_10670,Paper
814,cs_10671,Paper
815,cs_10672,Paper
816,cs_10673,Paper
817,cs_10674,Paper
818,cs_10675,Paper
819,cs_10676,Paper
820,cs_10677,Paper
821,cs_10678,Paper
822,cs_10679,Paper
823,cs_1068,Paper
824,cs_10680,Paper
825,cs_10681,Paper
826,cs_10682,Paper
827,cs_10683,Paper
828,cs_10684,Paper
829,cs_10685,Paper
830,cs_10686,Paper
831,cs_10687,Paper
832,cs_10688,Paper
833,cs_10689,Paper
834,cs_1069,Paper
835,cs_10690,Paper
836,cs_10691,Paper
837,cs_10692,Paper
838,cs_10693,Paper
839,cs_10694,Paper
840,cs_10695,Paper
841,cs_10696,Paper
842,cs_10697,Paper
843,cs_10698,Paper
844,cs_10699,Paper
845,cs_107,Paper
846,cs_1070,Paper
847,cs_10700,Paper
848,cs_10701,Paper
849,cs_10702,Paper
850,cs_10703,Paper
851,cs_10704,Paper
852,cs_10705,Paper
853,cs_10706,Paper
854,cs_10707,Paper
855,cs_10708,Paper
856,cs_10709,Paper
857,cs_1071,Paper
858,cs_10710,Paper
859,cs_10711,Paper
860,cs_10712,Paper
861,cs_10713,Paper
862,cs_10714,Paper
863,cs_10715,Paper
864,cs_10716,Paper
865,cs_10717,Paper
866,cs_10718,Paper
867,cs_10719,Paper
868,cs_1072,Paper
869,cs_10720,Paper
